unique_geneID	seqnames	start	end	width	strand	PID1185_peak_detected	PID1180_peak_detected	ND_RJH_peak_detected	ND_MK_peak_detected	PID1185_counts	PID1180_counts	ND_RJH_counts	ND_MK_counts	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
126789_chr1_1308278_1308613	chr1	1308278	1308613	336	*	TRUE	TRUE	TRUE	FALSE	33	36	34	18	Promoter (<=1kb)	1	1308597	1311677	3081	1	126789	0	ENSG00000169972	PUSL1	pseudouridine synthase like 1
54973_chr1_1324485_1324995	chr1	1324485	1324995	511	*	TRUE	TRUE	TRUE	FALSE	47	55	49	29	Promoter (<=1kb)	1	1311585	1324687	13103	2	54973	0	ENSG00000127054	INTS11	integrator complex subunit 11
54998_chr1_1375229_1375625	chr1	1375229	1375625	397	*	TRUE	TRUE	TRUE	TRUE	51	45	40	32	Promoter (<=1kb)	1	1373730	1375207	1478	2	54998	-22	ENSG00000175756	AURKAIP1	aurora kinase A interacting protein 1
148413_chr1_1399268_1399797	chr1	1399268	1399797	530	*	TRUE	TRUE	TRUE	TRUE	59	63	63	42	Promoter (<=1kb)	1	1399515	1402046	2532	1	148413	0	ENSG00000224870	MRPL20-AS1	MRPL20 antisense RNA 1
55052_chr1_1407104_1407515	chr1	1407104	1407515	412	*	TRUE	TRUE	TRUE	TRUE	32	25	32	21	Promoter (<=1kb)	1	1401909	1407293	5385	2	55052	0	ENSG00000242485	MRPL20	mitochondrial ribosomal protein L20
83858_chr1_1471440_1471902	chr1	1471440	1471902	463	*	TRUE	TRUE	TRUE	FALSE	40	39	39	17	Promoter (<=1kb)	1	1471765	1509466	37702	1	83858	0	ENSG00000160072	ATAD3B	ATPase family AAA domain containing 3B
55210_chr1_1511495_1512236	chr1	1511495	1512236	742	*	TRUE	TRUE	TRUE	TRUE	67	57	67	41	Promoter (<=1kb)	1	1512162	1534685	22524	1	55210	0	ENSG00000197785	ATAD3A	ATPase family AAA domain containing 3A
142678_chr1_1615181_1615718	chr1	1615181	1615718	538	*	TRUE	TRUE	TRUE	TRUE	63	59	56	33	Promoter (<=1kb)	1	1615454	1630605	15152	1	142678	0	ENSG00000197530	MIB2	MIB E3 ubiquitin protein ligase 2
8510_chr1_1630246_1630585	chr1	1630246	1630585	340	*	TRUE	TRUE	TRUE	TRUE	37	34	51	25	Promoter (1-2kb)	1	1632163	1635263	3101	1	8510	-1578	ENSG00000189409	MMP23B	matrix metallopeptidase 23B
984_chr1_1658898_1659311	chr1	1658898	1659311	414	*	TRUE	TRUE	TRUE	FALSE	21	18	31	11	Promoter (<=1kb)	1	1635225	1659012	23788	2	984	0	ENSG00000248333	CDK11B	cyclin dependent kinase 11B
728661_chr1_1692723_1693300	chr1	1692723	1693300	578	*	TRUE	TRUE	TRUE	FALSE	14	48	17	11	Promoter (<=1kb)	1	1659529	1692795	33267	2	728661	0	ENSG00000189339	SLC35E2B	solute carrier family 35 member E2B
728642_chr1_1724169_1724608	chr1	1724169	1724608	440	*	TRUE	TRUE	TRUE	TRUE	34	39	23	21	5' UTR	1	1702379	1737688	35310	2	728642	13080	ENSG00000008128	CDK11A	cyclin dependent kinase 11A
105378949_chr1_1890897_1891739	chr1	1890897	1891739	843	*	TRUE	TRUE	TRUE	TRUE	77	57	85	32	Promoter (<=1kb)	1	1891223	1892726	1504	1	105378949	0	ENSG00000231050	GNB1-DT	GNB1 divergent transcript
163688_chr1_1908730_1909332	chr1	1908730	1909332	603	*	TRUE	TRUE	TRUE	TRUE	48	63	46	36	Distal Intergenic	1	1915108	1917296	2189	1	163688	-5776	ENSG00000169885	CALML6	calmodulin like 6
339456_chr1_1919231_1919770	chr1	1919231	1919770	540	*	TRUE	TRUE	TRUE	TRUE	56	62	54	37	Promoter (<=1kb)	1	1917590	1919279	1690	2	339456	0	ENSG00000178821	TMEM52	transmembrane protein 52
100506504_chr1_2133243_2133714	chr1	2133243	2133714	472	*	TRUE	TRUE	TRUE	TRUE	49	31	48	26	5' UTR	1	2181794	2184389	2596	2	100506504	50675	ENSG00000182873	PRKCZ-AS1	PRKCZ antisense RNA 1
6497_chr1_2227584_2228058	chr1	2227584	2228058	475	*	TRUE	TRUE	TRUE	FALSE	50	53	40	28	Promoter (<=1kb)	1	2228319	2310213	81895	1	6497	-261	ENSG00000157933	SKI	SKI proto-oncogene
11079_chr1_2391325_2391947	chr1	2391325	2391947	623	*	TRUE	TRUE	TRUE	TRUE	75	56	66	49	Promoter (<=1kb)	1	2391775	2405442	13668	1	11079	0	ENSG00000157916	RER1	retention in endoplasmic reticulum sorting receptor 1
5192_chr1_2412520_2412854	chr1	2412520	2412854	335	*	TRUE	TRUE	TRUE	FALSE	43	50	30	23	Promoter (<=1kb)	1	2403964	2413797	9834	2	5192	943	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
5192_chr1_2546060_2546595	chr1	2546060	2546595	536	*	TRUE	TRUE	TRUE	FALSE	68	67	54	27	Exon (ENST00000644246.1/ENST00000644246.1, exon 2 of 2)	1	2403964	2413797	9834	2	5192	-132263	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
5192_chr1_2578143_2578639	chr1	2578143	2578639	497	*	TRUE	TRUE	TRUE	FALSE	39	29	29	17	Distal Intergenic	1	2403964	2413797	9834	2	5192	-164346	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
5192_chr1_2586266_2586905	chr1	2586266	2586905	640	*	TRUE	TRUE	TRUE	FALSE	76	59	53	38	5' UTR	1	2403964	2413797	9834	2	5192	-172469	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
127262_chr1_3624601_3625074	chr1	3624601	3625074	474	*	TRUE	TRUE	TRUE	TRUE	54	60	24	27	Promoter (<=1kb)	1	3625015	3630127	5113	1	127262	0	ENSG00000158109	TPRG1L	tumor protein p63 regulated 1 like
7161_chr1_3649989_3650246	chr1	3649989	3650246	258	*	TRUE	TRUE	TRUE	FALSE	27	23	28	15	Promoter (2-3kb)	1	3652516	3736201	83686	1	7161	-2270	ENSG00000078900	TP73	tumor protein p73
57470_chr1_3796170_3796753	chr1	3796170	3796753	584	*	TRUE	TRUE	TRUE	TRUE	37	45	30	25	Promoter (<=1kb)	1	3778559	3796498	17940	2	57470	0	ENSG00000130764	LRRC47	leucine rich repeat containing 47
1677_chr1_3856925_3857573	chr1	3856925	3857573	649	*	TRUE	TRUE	TRUE	TRUE	59	40	55	31	Promoter (<=1kb)	1	3857267	3885429	28163	1	1677	0	ENSG00000169598	DFFB	DNA fragmentation factor subunit beta
100133612_chr1_3900110_3901118	chr1	3900110	3901118	1009	*	TRUE	TRUE	TRUE	TRUE	108	92	108	81	Promoter (<=1kb)	1	3900352	3917225	16874	1	100133612	0	ENSG00000236423	LINC01134	long intergenic non-protein coding RNA 1134
261734_chr1_5992131_5992795	chr1	5992131	5992795	665	*	TRUE	TRUE	TRUE	TRUE	71	85	64	54	Promoter (<=1kb)	1	5862811	5992473	129663	2	261734	0	ENSG00000131697	NPHP4	nephrocystin 4
261734_chr1_6026142_6026433	chr1	6026142	6026433	292	*	TRUE	TRUE	TRUE	FALSE	31	29	29	16	5' UTR	1	5862811	5992473	129663	2	261734	-33669	ENSG00000131697	NPHP4	nephrocystin 4
388591_chr1_6199369_6199808	chr1	6199369	6199808	440	*	TRUE	TRUE	TRUE	FALSE	42	40	39	27	5' UTR	1	6205475	6221299	15825	1	388591	-5667	ENSG00000158286	RNF207	ring finger protein 207
23463_chr1_6235858_6236182	chr1	6235858	6236182	325	*	TRUE	TRUE	TRUE	FALSE	30	25	29	16	Promoter (<=1kb)	1	6221193	6235972	14780	2	23463	0	ENSG00000116237	ICMT	isoprenylcysteine carboxyl methyltransferase
11332_chr1_6393208_6394010	chr1	6393208	6394010	803	*	TRUE	TRUE	TRUE	TRUE	65	80	62	42	Promoter (<=1kb)	1	6264269	6393767	129499	2	11332	0	ENSG00000097021	ACOT7	acyl-CoA thioesterase 7
8718_chr1_6460384_6460645	chr1	6460384	6460645	262	*	TRUE	FALSE	TRUE	TRUE	22	19	32	19	3' UTR	1	6460786	6466175	5390	2	8718	5530	ENSG00000215788	TNFRSF25	TNF receptor superfamily member 25
79707_chr1_6553940_6554707	chr1	6553940	6554707	768	*	TRUE	TRUE	TRUE	TRUE	45	51	49	41	Promoter (<=1kb)	1	6521347	6554513	33167	2	79707	0	ENSG00000162408	NOL9	nucleolar protein 9
3104_chr1_6579787_6580249	chr1	6579787	6580249	463	*	TRUE	TRUE	TRUE	TRUE	56	50	49	42	Promoter (<=1kb)	1	6579994	6589280	9287	1	3104	0	ENSG00000204859	ZBTB48	zinc finger and BTB domain containing 48
148479_chr1_6602703_6603243	chr1	6602703	6603243	541	*	TRUE	TRUE	TRUE	TRUE	63	71	52	44	5' UTR	1	6613731	6624030	10300	1	148479	-10488	ENSG00000116273	PHF13	PHD finger protein 13
148479_chr1_6613115_6614086	chr1	6613115	6614086	972	*	TRUE	TRUE	TRUE	TRUE	100	100	70	48	Promoter (<=1kb)	1	6613731	6624030	10300	1	148479	0	ENSG00000116273	PHF13	PHD finger protein 13
55735_chr1_6701540_6702014	chr1	6701540	6702014	475	*	TRUE	TRUE	TRUE	TRUE	38	33	30	21	Promoter (<=1kb)	1	6634168	6701924	67757	2	55735	0	ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
110841581_chr1_6784472_6785473	chr1	6784472	6785473	1002	*	TRUE	TRUE	TRUE	TRUE	130	127	92	72	Promoter (<=1kb)	1	6783892	6784843	952	2	110841581	0	NA	CAMTA1-DT	CAMTA1 divergent transcript
9341_chr1_7704491_7704741	chr1	7704491	7704741	251	*	TRUE	TRUE	TRUE	FALSE	25	19	16	13	Intron (ENST00000303635.12/23261, intron 11 of 22)	1	7771296	7781432	10137	1	9341	-66555	ENSG00000049245	VAMP3	vesicle associated membrane protein 3
8863_chr1_7783779_7784333	chr1	7783779	7784333	555	*	TRUE	TRUE	TRUE	TRUE	57	62	53	34	Promoter (<=1kb)	1	7784291	7845177	60887	1	8863	0	ENSG00000049246	PER3	period circadian regulator 3
3604_chr1_7940736_7941115	chr1	7940736	7941115	380	*	TRUE	TRUE	TRUE	FALSE	42	27	37	14	Promoter (2-3kb)	1	7915871	7943165	27295	2	3604	2050	ENSG00000049249	TNFRSF9	TNF receptor superfamily member 9
11315_chr1_7949076_7949347	chr1	7949076	7949347	272	*	TRUE	FALSE	TRUE	TRUE	22	15	25	18	Distal Intergenic	1	7954291	7985505	31215	1	11315	-4944	ENSG00000116288	PARK7	Parkinsonism associated deglycase
11315_chr1_7953974_7954686	chr1	7953974	7954686	713	*	TRUE	TRUE	TRUE	TRUE	94	64	82	63	Promoter (<=1kb)	1	7954291	7985505	31215	1	11315	0	ENSG00000116288	PARK7	Parkinsonism associated deglycase
11315_chr1_7961314_7961932	chr1	7961314	7961932	619	*	TRUE	TRUE	TRUE	TRUE	65	84	70	54	5' UTR	1	7954291	7985505	31215	1	11315	7023	ENSG00000116288	PARK7	Parkinsonism associated deglycase
54206_chr1_8026196_8026542	chr1	8026196	8026542	347	*	TRUE	TRUE	TRUE	FALSE	37	26	20	14	Promoter (<=1kb)	1	8004404	8026309	21906	2	54206	0	ENSG00000116285	ERRFI1	ERBB receptor feedback inhibitor 1
50651_chr1_8317942_8318251	chr1	8317942	8318251	310	*	TRUE	TRUE	TRUE	FALSE	21	20	19	7	Promoter (<=1kb)	1	8318114	8344167	26054	1	50651	0	ENSG00000162426	SLC45A1	solute carrier family 45 member 1
473_chr1_8817571_8818134	chr1	8817571	8818134	564	*	TRUE	TRUE	TRUE	TRUE	37	40	36	33	5' UTR	1	8352397	8848921	496525	2	473	30787	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats
100505975_chr1_8878569_8879219	chr1	8878569	8879219	651	*	TRUE	TRUE	TRUE	TRUE	72	53	55	42	Promoter (<=1kb)	1	8878835	8879894	1060	1	100505975	0	ENSG00000230679	ENO1-AS1	ENO1 antisense RNA 1
2023_chr1_8899898_8900222	chr1	8899898	8900222	325	*	TRUE	TRUE	TRUE	TRUE	25	17	23	13	Distal Intergenic	1	8861000	8879190	18191	2	2023	-20708	ENSG00000074800	ENO1	enolase 1
80045_chr1_9129065_9129765	chr1	9129065	9129765	701	*	TRUE	TRUE	TRUE	FALSE	47	48	50	15	Promoter (<=1kb)	1	9100305	9129102	28798	2	80045	0	ENSG00000180758	GPR157	G protein-coupled receptor 157
9563_chr1_9234757_9235065	chr1	9234757	9235065	309	*	TRUE	TRUE	FALSE	TRUE	21	34	16	15	Promoter (<=1kb)	1	9234774	9271337	36564	1	9563	0	ENSG00000049239	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176_chr1_9280496_9280699	chr1	9280496	9280699	204	*	FALSE	TRUE	TRUE	TRUE	14	17	17	18	Distal Intergenic	1	9292894	9369532	76639	1	80176	-12195	ENSG00000171621	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
100506022_chr1_9428746_9429159	chr1	9428746	9429159	414	*	TRUE	TRUE	TRUE	TRUE	33	32	29	22	Exon (ENST00000641325.1/100506022, exon 1 of 2)	1	9425094	9440564	15471	2	100506022	11405	ENSG00000284693	LINC02606	long intergenic non-protein coding RNA 2606
84275_chr1_9539103_9539607	chr1	9539103	9539607	505	*	TRUE	TRUE	TRUE	TRUE	45	41	46	36	Promoter (<=1kb)	1	9539465	9585173	45709	1	84275	0	ENSG00000171612	SLC25A33	solute carrier family 25 member 33
199953_chr1_9588459_9589026	chr1	9588459	9589026	568	*	TRUE	TRUE	TRUE	TRUE	52	55	44	28	Promoter (<=1kb)	1	9588911	9614877	25967	1	199953	0	ENSG00000188807	TMEM201	transmembrane protein 201
5293_chr1_9627096_9627486	chr1	9627096	9627486	391	*	TRUE	TRUE	TRUE	FALSE	41	36	43	23	Distal Intergenic	1	9651731	9729114	77384	1	5293	-24245	ENSG00000171608	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
22883_chr1_9823927_9824392	chr1	9823927	9824392	466	*	TRUE	TRUE	FALSE	TRUE	29	33	22	18	Promoter (<=1kb)	1	9728926	9823984	95059	2	22883	0	ENSG00000171603	CLSTN1	calsyntenin 1
56998_chr1_9910129_9910821	chr1	9910129	9910821	693	*	TRUE	TRUE	TRUE	TRUE	88	90	60	58	Promoter (<=1kb)	1	9848276	9910336	62061	2	56998	0	ENSG00000178585	CTNNBIP1	catenin beta interacting protein 1
10277_chr1_10032522_10033313	chr1	10032522	10033313	792	*	TRUE	TRUE	TRUE	TRUE	65	72	66	46	Promoter (<=1kb)	1	10032832	10181239	148408	1	10277	0	ENSG00000130939	UBE4B	ubiquitination factor E4B
23095_chr1_10209774_10210701	chr1	10209774	10210701	928	*	TRUE	TRUE	TRUE	TRUE	60	76	65	47	Promoter (<=1kb)	1	10210570	10381603	171034	1	23095	0	ENSG00000054523	KIF1B	kinesin family member 1B
5226_chr1_10398583_10399462	chr1	10398583	10399462	880	*	TRUE	TRUE	TRUE	TRUE	87	77	58	64	Promoter (<=1kb)	1	10398592	10420511	21920	1	5226	0	ENSG00000142657	PGD	phosphogluconate dehydrogenase
378708_chr1_10430198_10431013	chr1	10430198	10431013	816	*	TRUE	TRUE	TRUE	TRUE	66	49	50	38	Promoter (<=1kb)	1	10430433	10442808	12376	1	378708	0	ENSG00000175279	CENPS	centromere protein S
1676_chr1_10472172_10472705	chr1	10472172	10472705	534	*	TRUE	TRUE	TRUE	FALSE	37	49	46	26	Promoter (<=1kb)	1	10456522	10472529	16008	2	1676	0	ENSG00000160049	DFFA	DNA fragmentation factor subunit alpha
1676_chr1_10474812_10475206	chr1	10474812	10475206	395	*	TRUE	TRUE	TRUE	TRUE	33	34	30	31	Promoter (2-3kb)	1	10456522	10472529	16008	2	1676	-2283	ENSG00000160049	DFFA	DNA fragmentation factor subunit alpha
23435_chr1_11012163_11013096	chr1	11012163	11013096	934	*	TRUE	TRUE	TRUE	TRUE	86	66	54	47	Promoter (<=1kb)	1	11012344	11030528	18185	1	23435	0	ENSG00000120948	TARDBP	TAR DNA binding protein
6723_chr1_11059976_11060338	chr1	11059976	11060338	363	*	TRUE	TRUE	TRUE	TRUE	41	46	33	26	Promoter (<=1kb)	1	11054584	11060020	5437	2	6723	0	ENSG00000116649	SRM	spermidine synthase
5394_chr1_11099561_11100034	chr1	11099561	11100034	474	*	TRUE	TRUE	TRUE	FALSE	23	28	33	19	Promoter (<=1kb)	1	11066618	11099869	33252	2	5394	0	ENSG00000171824	EXOSC10	exosome component 10
2475_chr1_11262331_11262867	chr1	11262331	11262867	537	*	TRUE	TRUE	TRUE	TRUE	60	46	47	30	Promoter (<=1kb)	1	11106535	11262551	156017	2	2475	0	ENSG00000198793	MTOR	mechanistic target of rapamycin kinase
29914_chr1_11272844_11273707	chr1	11272844	11273707	864	*	TRUE	TRUE	TRUE	TRUE	66	55	57	53	Promoter (<=1kb)	1	11273198	11296049	22852	1	29914	0	ENSG00000120942	UBIAD1	UbiA prenyltransferase domain containing 1
10459_chr1_11680885_11681572	chr1	11680885	11681572	688	*	TRUE	TRUE	TRUE	TRUE	49	61	49	26	5' UTR	1	11674480	11691650	17171	2	10459	10078	ENSG00000116670	MAD2L2	mitotic arrest deficient 2 like 2
1185_chr1_11805713_11806541	chr1	11805713	11806541	829	*	TRUE	TRUE	TRUE	TRUE	81	72	71	49	Promoter (<=1kb)	1	11806096	11848079	41984	1	1185	0	ENSG00000011021	CLCN6	chloride voltage-gated channel 6
26829_chr1_11908415_11909132	chr1	11908415	11909132	718	*	TRUE	TRUE	TRUE	TRUE	51	59	60	35	Promoter (<=1kb)	1	11908151	11909330	1180	1	26829	264	ENSG00000199347	RNU5E-1	RNA, U5E small nuclear 1
90231_chr1_11926345_11926632	chr1	11926345	11926632	288	*	TRUE	TRUE	TRUE	TRUE	17	26	20	16	Promoter (<=1kb)	1	11919591	11926428	6838	2	90231	0	ENSG00000116685	KIAA2013	KIAA2013
5351_chr1_11934419_11934863	chr1	11934419	11934863	445	*	TRUE	TRUE	TRUE	TRUE	36	35	29	22	Promoter (<=1kb)	1	11934205	11975538	41334	1	5351	214	ENSG00000083444	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
9927_chr1_11980080_11980547	chr1	11980080	11980547	468	*	TRUE	TRUE	TRUE	TRUE	57	48	47	36	Promoter (<=1kb)	1	11980181	12015211	35031	1	9927	0	ENSG00000116688	MFN2	mitofusin 2
60672_chr1_12019198_12019636	chr1	12019198	12019636	439	*	TRUE	TRUE	TRUE	TRUE	61	52	45	30	Promoter (<=1kb)	1	12019466	12032045	12580	1	60672	0	ENSG00000116691	MIIP	migration and invasion inhibitory protein
943_chr1_12047486_12047946	chr1	12047486	12047946	461	*	TRUE	TRUE	TRUE	TRUE	38	34	37	28	Distal Intergenic	1	12063303	12144207	80905	1	943	-15357	ENSG00000120949	TNFRSF8	TNF receptor superfamily member 8
102465836_chr1_12161819_12162322	chr1	12161819	12162322	504	*	TRUE	TRUE	TRUE	FALSE	38	33	46	21	Distal Intergenic	1	12166943	12167038	96	1	102465836	-4621	ENSG00000283789	MIR7846	microRNA 7846
7133_chr1_12173592_12174081	chr1	12173592	12174081	490	*	TRUE	TRUE	TRUE	TRUE	73	58	52	40	Intron (ENST00000376259.7/7133, intron 1 of 9)	1	12166991	12209228	42238	1	7133	6601	ENSG00000028137	TNFRSF1B	TNF receptor superfamily member 1B
7133_chr1_12177972_12178648	chr1	12177972	12178648	677	*	TRUE	FALSE	TRUE	TRUE	64	50	79	65	Intron (ENST00000376259.7/7133, intron 1 of 9)	1	12166991	12209228	42238	1	7133	10981	ENSG00000028137	TNFRSF1B	TNF receptor superfamily member 1B
55187_chr1_12229844_12230198	chr1	12229844	12230198	355	*	TRUE	TRUE	TRUE	FALSE	32	31	22	16	Promoter (<=1kb)	1	12230030	12512047	282018	1	55187	0	ENSG00000048707	VPS13D	vacuolar protein sorting 13 homolog D
677885_chr1_12449384_12449710	chr1	12449384	12449710	327	*	TRUE	TRUE	TRUE	FALSE	21	18	24	18	Intron (ENST00000620676.6/55187, intron 65 of 69)	1	12507246	12507397	152	1	677885	-57536	ENSG00000239149	SNORA59A	small nucleolar RNA, H/ACA box 59A
7799_chr1_13749067_13749523	chr1	13749067	13749523	457	*	TRUE	TRUE	TRUE	FALSE	38	38	41	18	5' UTR	1	13700188	13825079	124892	1	7799	48879	ENSG00000116731	PRDM2	PR/SET domain 2
842_chr1_15524220_15524559	chr1	15524220	15524559	340	*	TRUE	TRUE	TRUE	TRUE	42	38	32	25	Promoter (1-2kb)	1	15490832	15526534	35703	2	842	1975	ENSG00000132906	CASP9	caspase 9
842_chr1_15524611_15525424	chr1	15524611	15525424	814	*	TRUE	TRUE	TRUE	TRUE	96	73	81	53	Promoter (1-2kb)	1	15490832	15526534	35703	2	842	1110	ENSG00000132906	CASP9	caspase 9
23341_chr1_15526536_15527021	chr1	15526536	15527021	486	*	TRUE	TRUE	TRUE	TRUE	49	58	53	34	Promoter (<=1kb)	1	15526813	15592379	65567	1	23341	0	ENSG00000116138	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16
84301_chr1_15603378_15603808	chr1	15603378	15603808	431	*	TRUE	FALSE	TRUE	TRUE	32	19	27	20	Exon (ENST00000428945.1/ENST00000428945.1, exon 1 of 2)	1	15617458	15669044	51587	1	84301	-13650	ENSG00000197312	DDI2	DNA damage inducible 1 homolog 2
84301_chr1_15617277_15618016	chr1	15617277	15618016	740	*	TRUE	TRUE	TRUE	TRUE	64	56	56	45	Promoter (<=1kb)	1	15617458	15669044	51587	1	84301	0	ENSG00000197312	DDI2	DNA damage inducible 1 homolog 2
23013_chr1_15834835_15835301	chr1	15834835	15835301	467	*	TRUE	TRUE	TRUE	FALSE	46	44	40	21	Promoter (<=1kb)	1	15836095	15940456	104362	1	23013	-794	ENSG00000065526	SPEN	spen family transcriptional repressor
23013_chr1_15835772_15836171	chr1	15835772	15836171	400	*	TRUE	TRUE	TRUE	FALSE	39	39	34	20	Promoter (<=1kb)	1	15836095	15940456	104362	1	23013	0	ENSG00000065526	SPEN	spen family transcriptional repressor
729614_chr1_15847420_15847877	chr1	15847420	15847877	458	*	TRUE	TRUE	TRUE	TRUE	39	46	44	33	Promoter (<=1kb)	1	15834474	15848147	13674	2	729614	270	ENSG00000179743	SPEN-AS1	SPEN antisense RNA 1
7709_chr1_15949571_15950140	chr1	15949571	15950140	570	*	TRUE	TRUE	TRUE	FALSE	60	73	46	26	Intron (ENST00000375743.9/7709, intron 2 of 15)	1	15941869	15976132	34264	2	7709	25992	ENSG00000116809	ZBTB17	zinc finger and BTB domain containing 17
7709_chr1_15966102_15966531	chr1	15966102	15966531	430	*	FALSE	TRUE	TRUE	TRUE	26	33	35	26	Intron (ENST00000375743.9/7709, intron 2 of 15)	1	15941869	15976132	34264	2	7709	9601	ENSG00000116809	ZBTB17	zinc finger and BTB domain containing 17
7709_chr1_15975466_15976195	chr1	15975466	15976195	730	*	TRUE	TRUE	TRUE	TRUE	80	102	74	52	Promoter (<=1kb)	1	15941869	15976132	34264	2	7709	0	ENSG00000116809	ZBTB17	zinc finger and BTB domain containing 17
128272_chr1_16206516_16207169	chr1	16206516	16207169	654	*	TRUE	TRUE	TRUE	TRUE	61	55	64	46	Exon (ENST00000478117.5/128272, exon 1 of 11)	1	16197854	16212652	14799	2	128272	5483	ENSG00000142632	ARHGEF19	Rho guanine nucleotide exchange factor 19
128272_chr1_16217285_16217804	chr1	16217285	16217804	520	*	TRUE	TRUE	TRUE	TRUE	39	35	40	30	Exon (ENST00000475369.2/101927546, exon 1 of 2)	1	16197854	16212652	14799	2	128272	-4633	ENSG00000142632	ARHGEF19	Rho guanine nucleotide exchange factor 19
